ktnr,ktname,gdenr,gdename,Einheit,stpf,snpstbetr,mean_stbetr,median_stbetr,gini_stbetr,mean_steink,median_steink,gini_steink,mean_steinka,median_steinka,gini_steinka,mean_reink,median_reink,gini_reink,mean_reinka,median_reinka,gini_reinka
1,ZH,1,  Aeugst am Albis,Total,"1,212",4.399,"3,630",511,0.835,"80,614","56,050",0.542,"57,319","45,814",0.501,"89,388","63,600",0.527,"62,618","51,833",0.475
1,ZH,2,  Affoltern am Albis,Total,"7,176",10.422,"1,452",226,0.829,"56,125","45,750",0.46,"43,122","37,919",0.430,"63,885","51,700",0.444,"47,970","43,028",0.398
1,ZH,3,  Bonstetten,Total,"3,021",6.977,"2,310",564,0.778,"73,046","60,700",0.442,"53,231","47,400",0.412,"82,712","69,300",0.43,"58,924","54,100",0.383
1,ZH,4,  Hausen am Albis,Total,"2,080",4.792,"2,304",355,0.822,"67,618","51,300",0.493,"49,364","41,061",0.457,"76,554","57,250",0.478,"54,760","47,276",0.428
1,ZH,5,  Hedingen,Total,"2,148",5.697,"2,652",481,0.819,"73,258","55,700",0.481,"52,805","44,400",0.440,"82,623","63,950",0.469,"58,368","50,976",0.413
1,ZH,6,  Kappel am Albis,Total,613,1.687,"2,751",350,0.853,"71,051","50,100",0.519,"50,281","40,400",0.462,"79,774","55,400",0.504,"55,489","45,700",0.435
1,ZH,7,  Knonau,Total,"1,274",2.232,"1,752",370,0.793,"62,590","52,500",0.468,"45,015","40,104",0.430,"71,408","59,350",0.459,"50,289","47,269",0.404
1,ZH,8,  Maschwanden,Total,417,0.565,"1,356",221,0.806,"56,577","48,000",0.463,"42,739","37,900",0.442,"65,246","54,500",0.449,"47,968","43,944",0.408
1,ZH,9,  Mettmenstetten,Total,"2,721",6.539,"2,403",397,0.827,"70,107","54,000",0.481,"51,635","43,100",0.448,"78,771","60,900",0.468,"56,865","48,800",0.421
1,ZH,10,  Obfelden,Total,"2,868",4.184,"1,459",271,0.796,"59,460","49,100",0.446,"43,639","39,200",0.416,"68,636","56,850",0.433,"49,111","44,767",0.384
1,ZH,11,  Ottenbach,Total,"1,565",3.22,"2,058",363,0.816,"65,938","52,300",0.47,"48,806","41,200",0.435,"74,242","58,900",0.457,"53,930","47,238",0.407
