"Price","Beds","Lon","Lat"
34.95,"1",-2.9347084,53.425587
93,"1",-3.00137,53.4112
75,"1",-3.026133,53.47859
122.5,"1",-2.98834,53.4285
127.5,"1",-2.96811,53.4133
127.5,"1",-2.96811,53.4133
110,"1",-2.97906,53.396
82.5,"1",-2.96117,53.4012
77,"1",-2.97594,53.4229
69.5,"1",-2.95424,53.408
68.5,"1",-2.95424,53.408
114.95,"1",-2.99012,53.403
77.5,"1",-2.95424,53.408
75,"1",-2.97514,53.4094
110,"1",-2.96907,53.4017
55,"1",-2.97685,53.417
55,"1",-2.94569,53.4307
40,"1",-2.9402,53.3981
115,"1",-2.9895,53.4101
110,"1",-2.98727,53.4072
80,"1",-2.98772,53.429
145,"1",-3.00137,53.4112
90,"1",-2.98368,53.4087
60,"1",-2.98183,53.401
144.95,"1",-2.99384,53.4036
174.5,"1",-2.9701,53.4113
131.25,"1",-2.9701,53.4113
100,"1",-2.99347,53.4067
139.95,"1",-2.96849,53.3968
119.95,"1",-2.98731,53.4094
253,"1",-2.99436,53.4066
92.5,"1",-2.98153,53.4023
25,"1",-2.9826543,53.421413
105,"1",-2.98286,53.3987
153.95,"1",-2.9944565,53.40941
135,"1",-2.991732,53.40901
145.95,"1",-2.98712,53.4105
124,"1",-2.99403,53.4132
30,"1",-2.917739,53.388638
137.5,"1",-2.99514,53.408
119.95,"1",-2.97776,53.4161
76.5,"1",-2.98318,53.4142
28,"1",-2.94046,53.3985
113.05,"1",-2.98318,53.4142
127.5,"1",-2.98318,53.4142
124.95,"1",-2.99514,53.408
165.995,"1",-2.99172,53.4062
52,"1",-2.97685,53.417
69.95,"1",-2.99142,53.4052
104.95,"1",-2.99283,53.4089
59.95,"1",-2.95168,53.3915
155.95,"1",-2.98561,53.40938
55,"1",-2.97606,53.4469
189.95,"1",-2.94289,53.3898
192.95,"1",-2.94289,53.3898
124.95,"1",-2.98739,53.4103
97.5,"1",-2.9849,53.3992
170,"1",-2.94959,53.387
185,"1",-2.94959,53.387
120,"1",-2.99745,53.4083
93.5,"1",-2.98834,53.4285
81.55,"1",-2.98781,53.4075
105,"1",-2.98566,53.3993
74.95,"1",-2.94895,53.3818
95,"1",-2.98898,53.4074
125,"1",-2.9928067,53.408928
144.95,"1",-2.99384,53.4036
90,"1",-3.02873,53.4836
100,"1",-2.98558,53.4114
135,"1",-3.00137,53.4112
84.733,"1",-2.98781,53.4075
137.393,"1",-2.99979,53.4143
70,"1",-2.98344,53.3967
145,"1",-2.99369,53.4069
130,"1",-2.9824,53.4054
109.95,"1",-2.9888,53.4069
127,"1",-2.99279,53.4101
260,"1",-2.84304,53.4089
116.95,"1",-2.97789,53.3917
90,"1",-2.93659,53.3897
139,"1",-2.99979,53.4143
115,"1",-2.98139,53.3933
130.95,"1",-2.99366,53.4056
125.95,"1",-2.99366,53.4056
85,"1",-2.9625,53.4593
143.402,"1",-2.99944,53.4172
137,"1",-2.9996,53.4127
140,"1",-2.99366,53.4056
53,"1",-2.88267,53.4369
50,"1",-2.89415,53.35377
94.75,"1",-3.02432,53.469
75,"1",-2.848419,53.408184
90,"1",-2.90242,53.3591
75,"1",-3.02256,53.4696
55,"1",-2.85534,53.3802
69.95,"1",-2.90103,53.3565
77.5,"1",-2.85035,53.359833
89.95,"1",-3.02775,53.4738
65,"1",-3.02072,53.4745
55,"1",-2.89679,53.493
58,"1",-2.83785,53.3651
79.95,"1",-3.02238,53.4975
65,"1",-3.03643,53.4891
52.95,"1",-2.8479314,53.363045
165,"1",-3.04612,53.4909
82.5,"1",-2.9777114,53.409462
78.75,"1",-2.9823716,53.401314
